2026	07	03	AR	CV	WC	US	2	58	2148	1622	95	-27	3	57	4	86	5	100	5	107	6	114
2026	07	03	AU	EG	WC	US	25	35	1800	1742	58	-5	25	35	38	52	44	61	47	66	50	70
2026	07	03	CO	GH	WC	US	7	68	2004	1575	92	-25	5	55	7	83	8	97	9	104	9	111
2026	07	04	CA	MA	WC	US	30	15	1764	1886	33	10	40	20	60	30	70	35	75	37	80	40
2026	07	04	FR	PY	WC	US	3	22	2134	1823	86	-21	9	51	13	77	15	90	16	96	17	103
2026	07	05	BR	NO	WC	US	5	11	2031	1934	64	-8	22	38	33	57	38	67	41	72	44	76
2026	07	05	MX	EN	WC	MX	9	4	1943	2046	50	0	30	30	45	45	53	52	57	56	61	59
2026	07	06	PT	ES	WC	US	6	1	2013	2159	30	12	42	18	63	27	73	32	79	34	84	36
2026	07	06	US	BE	WC	US	26	12	1798	1910	48	1	31	29	47	43	54	51	58	54	62	58
2026	07	18	VN	MM	F	VN	118	187	1351	984	94	-9	1	19	2	28	2	33	2	35	3	37
2026	07	24	KH	SG	SEA	KH	203	167	871	1134	28	9	29	11	43	17	50	20	54	21	58	22
2026	07	24	TL	VN	SEA		215	118	734	1351	3	19	39	1	58	2	68	2	73	2	78	2
2026	07	25	LA	TH	SEA	LA	215	109	734	1376	4	18	38	2	57	3	67	3	72	3	77	3
2026	07	25	MM	MY	SEA	MM	187	137	984	1293	23	11	31	9	46	14	54	16	58	17	62	18
2026	07	27	ID	KH	SEA	ID	113	203	1372	871	97	-19	1	39	2	58	2	68	2	73	2	78
2026	07	27	SG	TL	SEA	SG	167	215	1134	734	95	-18	2	38	3	57	4	66	4	71	4	76
2026	07	28	MY	LA	SEA	MY	137	215	1293	734	98	-19	1	39	1	59	2	68	2	73	2	78
2026	07	28	PH	MM	SEA	PH	161	187	1179	984	85	-14	6	34	9	51	11	59	12	63	12	68
2026	07	31	TL	ID	SEA		215	113	734	1372	2	19	39	1	59	1	68	2	73	2	78	2
2026	07	31	VN	SG	SEA	VN	118	167	1351	1134	86	-14	6	34	8	52	10	60	10	65	11	69
2026	08	01	LA	PH	SEA	LA	215	161	734	1179	12	15	35	5	53	7	62	8	66	9	70	10
2026	08	01	TH	MY	SEA	TH	109	137	1376	1293	74	-10	10	30	16	44	18	52	19	56	21	59
2026	08	03	KH	TL	SEA	KH	203	215	871	734	80	-12	8	32	12	48	14	56	15	60	16	64
2026	08	03	ID	VN	SEA	ID	113	118	1372	1351	67	-7	13	27	20	40	23	47	25	50	27	53
2026	08	04	MM	LA	SEA	MM	187	215	984	734	88	-15	5	35	7	53	8	62	9	66	9	71
2026	08	04	PH	TH	SEA	PH	161	109	1179	1376	36	5	25	15	38	22	45	25	48	27	51	29
2026	08	07	SG	ID	SEA	SG	167	113	1134	1372	31	8	28	12	41	19	48	22	52	23	55	25
2026	08	07	VN	KH	SEA	VN	118	203	1351	871	97	-19	1	39	2	58	2	68	3	72	3	77
2026	08	08	MY	PH	SEA	MY	137	161	1293	1179	77	-11	9	31	14	46	16	54	17	58	18	62
2026	08	08	TH	MM	SEA	TH	109	187	1376	984	94	-18	2	38	3	57	4	66	4	71	4	76
2026	09	00	DZ	ZM	FQ	DZ	32	115	1756	1371	94	-18	2	38	3	57	4	66	4	71	5	75
2026	09	00	BF	BJ	FQ	BF	78	100	1529	1405	78	-11	9	31	13	47	15	55	16	59	17	63
2026	09	00	CM	KM	FQ	CM	61	111	1614	1374	88	-15	5	35	7	53	9	61	9	66	10	70
2026	09	00	CD	GQ	FQ	CD	45	106	1704	1380	92	-17	3	37	5	55	6	64	6	69	6	74
2026	09	00	EG	AO	FQ	EG	35	74	1742	1542	85	-14	6	34	9	51	11	59	11	64	12	68
